'Elapsed time','1','1_DOCFILT-4-0.08-4','1_DOCFILT-4-0.3-3','1_DOCFILT-4-0.3-4','2','2_DOCFILT-4-0.08-4','2_DOCFILT-4-0.3-3','2_DOCFILT-4-0.3-4','3','3_DOCFILT-4-0.08-4','3_DOCFILT-4-0.3-3','3_DOCFILT-4-0.3-4'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',0.083,0.002,0.001,0.002,0.013,0.001,0.000,0.001,-0.057,-0.001,-0.000,-0.001
'0:00.050',0.087,0.014,0.005,0.013,0.014,0.004,0.003,0.007,-0.060,-0.003,-0.001,-0.003
'0:00.100',0.082,0.035,0.016,0.031,0.016,0.011,0.010,0.018,-0.058,-0.008,-0.003,-0.007
'0:00.150',0.074,0.051,0.029,0.046,0.015,0.016,0.018,0.028,-0.054,-0.012,-0.006,-0.009
'0:00.200',0.070,0.053,0.040,0.045,0.011,0.015,0.024,0.029,-0.054,-0.014,-0.008,-0.009
'0:00.250',0.071,0.045,0.042,0.037,0.008,0.009,0.025,0.023,-0.060,-0.015,-0.010,-0.008
'0:00.300',0.074,0.040,0.038,0.031,0.004,0.003,0.022,0.017,-0.068,-0.018,-0.010,-0.009
'0:00.350',0.070,0.038,0.030,0.027,0.000,-0.001,0.016,0.014,-0.069,-0.021,-0.009,-0.010
'0:00.400',0.063,0.035,0.021,0.024,-0.004,-0.004,0.011,0.012,-0.069,-0.022,-0.008,-0.009
'0:00.450',0.057,0.030,0.015,0.017,-0.008,-0.008,0.007,0.009,-0.068,-0.021,-0.006,-0.006
'0:00.500',0.054,0.024,0.010,0.011,-0.011,-0.012,0.004,0.005,-0.073,-0.022,-0.005,-0.005
'0:00.550',0.052,0.020,0.006,0.006,-0.017,-0.018,0.000,0.000,-0.075,-0.024,-0.005,-0.005
'0:00.600',0.049,0.018,0.004,0.003,-0.022,-0.023,-0.004,-0.004,-0.078,-0.027,-0.007,-0.006
'0:00.650',0.048,0.018,0.003,0.002,-0.026,-0.028,-0.008,-0.008,-0.082,-0.030,-0.009,-0.008
'0:00.700',0.048,0.018,0.001,0.001,-0.030,-0.032,-0.012,-0.012,-0.086,-0.035,-0.011,-0.011
'0:00.750',0.048,0.018,-0.001,0.000,-0.036,-0.036,-0.016,-0.016,-0.091,-0.039,-0.014,-0.014
'0:00.800',0.050,0.015,-0.005,-0.003,-0.037,-0.039,-0.019,-0.019,-0.098,-0.042,-0.015,-0.016
'0:00.850',0.041,0.009,-0.009,-0.009,-0.041,-0.042,-0.022,-0.022,-0.097,-0.042,-0.016,-0.015
'0:00.900',0.033,0.004,-0.014,-0.016,-0.043,-0.046,-0.025,-0.025,-0.097,-0.043,-0.016,-0.015
'0:00.950',0.032,0.001,-0.018,-0.019,-0.047,-0.049,-0.028,-0.029,-0.101,-0.045,-0.017,-0.016
'0:01.000',0.034,0.001,-0.021,-0.020,-0.049,-0.052,-0.031,-0.031,-0.105,-0.048,-0.017,-0.018
'0:01.050',0.034,0.000,-0.022,-0.021,-0.050,-0.053,-0.033,-0.033,-0.109,-0.049,-0.017,-0.018
'0:01.100',0.029,-0.002,-0.024,-0.024,-0.051,-0.054,-0.034,-0.034,-0.105,-0.048,-0.017,-0.017
'0:01.150',0.027,-0.004,-0.026,-0.026,-0.050,-0.053,-0.034,-0.034,-0.104,-0.045,-0.015,-0.014
'0:01.200',0.028,-0.005,-0.027,-0.027,-0.049,-0.052,-0.033,-0.033,-0.104,-0.044,-0.013,-0.012
'0:01.250',0.030,-0.003,-0.026,-0.026,-0.046,-0.049,-0.030,-0.031,-0.104,-0.042,-0.010,-0.011
'0:01.300',0.034,0.000,-0.023,-0.023,-0.041,-0.045,-0.027,-0.027,-0.103,-0.041,-0.009,-0.009
'0:01.350',0.038,0.005,-0.018,-0.019,-0.035,-0.039,-0.022,-0.022,-0.101,-0.039,-0.007,-0.007
'0:01.400',0.043,0.010,-0.012,-0.013,-0.028,-0.033,-0.016,-0.016,-0.099,-0.037,-0.006,-0.005
'0:01.450',0.049,0.017,-0.007,-0.006,-0.023,-0.027,-0.011,-0.011,-0.098,-0.036,-0.004,-0.005
'0:01.500',0.058,0.022,-0.003,-0.001,-0.017,-0.020,-0.006,-0.006,-0.099,-0.034,-0.002,-0.003
'0:01.550',0.058,0.023,-0.002,-0.001,-0.009,-0.015,-0.001,-0.001,-0.097,-0.030,0.001,0.001
'0:01.600',0.053,0.021,-0.001,-0.003,-0.004,-0.010,0.003,0.003,-0.089,-0.025,0.004,0.005
'0:01.650',0.053,0.020,-0.001,-0.003,-0.001,-0.006,0.006,0.006,-0.087,-0.021,0.007,0.008
'0:01.700',0.056,0.023,0.001,0.000,0.003,-0.002,0.009,0.008,-0.087,-0.020,0.009,0.009
'0:01.750',0.063,0.028,0.003,0.005,0.007,0.001,0.011,0.011,-0.089,-0.019,0.010,0.009
'0:01.800',0.065,0.030,0.005,0.007,0.011,0.005,0.014,0.014,-0.087,-0.017,0.011,0.010
'0:01.850',0.062,0.029,0.006,0.006,0.014,0.008,0.016,0.016,-0.082,-0.014,0.012,0.012
'0:01.900',0.060,0.026,0.006,0.005,0.017,0.011,0.017,0.017,-0.081,-0.012,0.012,0.013
'0:01.950',0.059,0.026,0.005,0.004,0.019,0.013,0.018,0.018,-0.083,-0.012,0.012,0.012
'0:02.000',0.061,0.026,0.004,0.005,0.020,0.013,0.018,0.018,-0.084,-0.012,0.012,0.011
'0:02.050',0.061,0.026,0.005,0.005,0.021,0.014,0.017,0.017,-0.084,-0.011,0.011,0.011
'0:02.100',0.060,0.025,0.006,0.006,0.021,0.014,0.017,0.017,-0.082,-0.010,0.010,0.011
'0:02.150',0.059,0.026,0.008,0.007,0.024,0.016,0.018,0.017,-0.083,-0.009,0.009,0.010
'0:02.200',0.059,0.027,0.009,0.009,0.024,0.017,0.018,0.018,-0.082,-0.010,0.009,0.008
'0:02.250',0.065,0.027,0.008,0.010,0.027,0.019,0.019,0.019,-0.089,-0.011,0.008,0.007
'0:02.300',0.060,0.025,0.007,0.008,0.029,0.020,0.018,0.019,-0.085,-0.009,0.008,0.008
'0:02.350',0.053,0.021,0.006,0.005,0.027,0.019,0.017,0.017,-0.081,-0.006,0.008,0.009
'0:02.400',0.051,0.019,0.006,0.004,0.026,0.018,0.016,0.015,-0.081,-0.005,0.008,0.009
'0:02.450',0.055,0.021,0.007,0.007,0.026,0.016,0.014,0.014,-0.085,-0.006,0.007,0.007
'0:02.500',0.060,0.023,0.010,0.011,0.026,0.016,0.013,0.013,-0.088,-0.008,0.006,0.005
'0:02.550',0.058,0.025,0.012,0.013,0.025,0.016,0.012,0.012,-0.086,-0.007,0.004,0.004
'0:02.600',0.057,0.024,0.013,0.013,0.025,0.016,0.012,0.012,-0.084,-0.006,0.004,0.004
'0:02.650',0.056,0.022,0.013,0.013,0.026,0.016,0.012,0.012,-0.085,-0.005,0.003,0.004
'0:02.700',0.055,0.021,0.013,0.013,0.027,0.016,0.011,0.011,-0.087,-0.005,0.003,0.003
'0:02.750',0.055,0.021,0.013,0.013,0.026,0.016,0.010,0.011,-0.087,-0.005,0.003,0.002
'0:02.800',0.054,0.020,0.014,0.013,0.026,0.015,0.010,0.010,-0.087,-0.005,0.002,0.002
'0:02.850',0.052,0.019,0.015,0.014,0.026,0.015,0.010,0.009,-0.087,-0.004,0.002,0.002
'0:02.900',0.052,0.019,0.016,0.016,0.027,0.015,0.010,0.010,-0.085,-0.003,0.001,0.002
'0:02.950',0.051,0.020,0.016,0.017,0.027,0.016,0.011,0.011,-0.086,-0.003,0.001,0.001
'0:03.000',0.055,0.018,0.015,0.017,0.030,0.017,0.011,0.012,-0.090,-0.003,0.002,0.001
