'Elapsed time','ECG','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','Abdomen_5'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV'
'0:00.000',0.028,0.001,0.026,0.226,0.047,-0.001
'0:00.002',0.046,0.005,0.029,0.265,0.060,0.008
'0:00.004',0.076,0.010,0.022,0.242,0.060,0.018
'0:00.006',0.080,0.021,0.015,0.201,0.047,0.029
'0:00.008',0.110,0.034,0.017,0.170,0.037,0.039
'0:00.010',0.128,0.042,0.028,0.164,0.038,0.039
'0:00.012',0.122,0.041,0.044,0.176,0.047,0.037
'0:00.014',0.097,0.036,0.051,0.192,0.056,0.034
'0:00.016',0.114,0.033,0.052,0.205,0.063,0.036
'0:00.018',0.130,0.039,0.053,0.218,0.075,0.046
'0:00.020',0.135,0.053,0.060,0.223,0.086,0.061
'0:00.022',0.143,0.068,0.073,0.216,0.094,0.072
'0:00.024',0.163,0.074,0.083,0.210,0.100,0.075
'0:00.026',0.165,0.075,0.093,0.212,0.105,0.076
'0:00.028',0.161,0.075,0.105,0.221,0.105,0.077
'0:00.030',0.176,0.079,0.115,0.230,0.105,0.082
'0:00.032',0.173,0.085,0.116,0.235,0.108,0.089
'0:00.034',0.172,0.092,0.108,0.238,0.111,0.093
'0:00.036',0.174,0.095,0.101,0.246,0.114,0.094
'0:00.038',0.163,0.093,0.098,0.258,0.118,0.092
'0:00.040',0.163,0.090,0.094,0.273,0.125,0.087
'0:00.042',0.168,0.084,0.087,0.285,0.129,0.082
'0:00.044',0.155,0.081,0.081,0.290,0.131,0.082
'0:00.046',0.151,0.086,0.085,0.280,0.129,0.088
'0:00.048',0.148,0.093,0.091,0.262,0.126,0.095
'0:00.050',0.145,0.095,0.089,0.256,0.121,0.093
'0:00.052',0.141,0.088,0.080,0.264,0.119,0.083
'0:00.054',0.128,0.079,0.070,0.270,0.121,0.072
'0:00.056',0.132,0.071,0.060,0.268,0.119,0.067
'0:00.058',0.131,0.068,0.051,0.258,0.115,0.066
'0:00.060',0.129,0.065,0.042,0.247,0.111,0.064
'0:00.062',0.129,0.060,0.040,0.241,0.108,0.057
'0:00.064',0.118,0.051,0.046,0.239,0.107,0.047
'0:00.066',0.114,0.044,0.055,0.244,0.105,0.040
'0:00.068',0.140,0.042,0.058,0.245,0.101,0.043
'0:00.070',0.122,0.046,0.055,0.232,0.091,0.052
'0:00.072',0.118,0.054,0.053,0.210,0.081,0.060
'0:00.074',0.140,0.060,0.052,0.195,0.078,0.062
'0:00.076',0.144,0.060,0.050,0.200,0.083,0.057
'0:00.078',0.136,0.056,0.052,0.208,0.087,0.054
'0:00.080',0.131,0.054,0.063,0.204,0.086,0.054
'0:00.082',0.128,0.054,0.066,0.192,0.081,0.052
'0:00.084',0.148,0.050,0.059,0.181,0.075,0.047
'0:00.086',0.141,0.045,0.055,0.176,0.062,0.044
'0:00.088',0.107,0.043,0.059,0.168,0.054,0.044
'0:00.090',0.133,0.045,0.058,0.157,0.054,0.048
'0:00.092',0.140,0.050,0.046,0.145,0.056,0.051
'0:00.094',0.130,0.051,0.036,0.134,0.050,0.047
'0:00.096',0.121,0.044,0.041,0.120,0.035,0.039
'0:00.098',0.110,0.033,0.051,0.111,0.020,0.028
'0:00.100',0.111,0.023,0.052,0.111,0.010,0.018
'0:00.102',0.105,0.013,0.037,0.115,0.006,0.009
'0:00.104',0.078,0.003,0.016,0.117,0.007,-0.001
'0:00.106',0.084,-0.011,-0.001,0.114,0.007,-0.015
'0:00.108',0.088,-0.025,-0.012,0.108,0.006,-0.030
'0:00.110',0.079,-0.037,-0.017,0.103,0.002,-0.040
'0:00.112',0.069,-0.042,-0.016,0.101,-0.005,-0.044
'0:00.114',0.066,-0.044,-0.013,0.094,-0.016,-0.045
'0:00.116',0.050,-0.046,-0.013,0.078,-0.035,-0.044
