'Elapsed time','ECG','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','Abdomen_5'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV'
'0:00.000',-0.011,0.024,0.003,0.007,0.008,0.030
'0:00.001',-0.019,0.060,0.016,0.025,0.027,0.040
'0:00.002',-0.014,0.092,0.023,0.035,0.037,0.041
'0:00.003',-0.010,0.117,0.026,0.038,0.042,0.038
'0:00.004',-0.018,0.135,0.026,0.037,0.042,0.034
'0:00.005',-0.034,0.143,0.026,0.036,0.041,0.031
'0:00.006',-0.049,0.144,0.024,0.037,0.042,0.033
'0:00.007',-0.057,0.135,0.024,0.041,0.048,0.042
'0:00.008',-0.067,0.118,0.025,0.049,0.057,0.057
'0:00.009',-0.077,0.097,0.026,0.060,0.070,0.076
'0:00.010',-0.084,0.072,0.028,0.073,0.084,0.097
'0:00.011',-0.093,0.046,0.031,0.086,0.098,0.118
'0:00.012',-0.104,0.021,0.033,0.097,0.111,0.138
'0:00.013',-0.111,0.000,0.035,0.105,0.121,0.153
'0:00.014',-0.110,-0.016,0.037,0.110,0.126,0.163
'0:00.015',-0.097,-0.024,0.037,0.111,0.126,0.165
'0:00.016',-0.089,-0.024,0.036,0.106,0.121,0.160
'0:00.017',-0.086,-0.017,0.035,0.097,0.111,0.149
'0:00.018',-0.082,-0.003,0.032,0.086,0.099,0.131
'0:00.019',-0.080,0.017,0.029,0.072,0.082,0.109
'0:00.020',-0.084,0.041,0.026,0.057,0.065,0.085
'0:00.021',-0.086,0.066,0.024,0.045,0.049,0.060
'0:00.022',-0.079,0.089,0.021,0.032,0.036,0.039
'0:00.023',-0.076,0.109,0.019,0.023,0.025,0.022
'0:00.024',-0.074,0.122,0.019,0.016,0.020,0.011
'0:00.025',-0.073,0.129,0.019,0.015,0.019,0.008
'0:00.026',-0.075,0.128,0.019,0.017,0.024,0.012
'0:00.027',-0.073,0.117,0.019,0.023,0.033,0.024
'0:00.028',-0.074,0.101,0.020,0.032,0.046,0.040
'0:00.029',-0.080,0.079,0.022,0.045,0.060,0.060
'0:00.030',-0.085,0.053,0.023,0.057,0.075,0.083
'0:00.031',-0.082,0.025,0.025,0.070,0.090,0.105
'0:00.032',-0.081,0.000,0.026,0.081,0.102,0.123
'0:00.033',-0.078,-0.022,0.029,0.090,0.111,0.139
'0:00.034',-0.074,-0.038,0.029,0.096,0.116,0.147
'0:00.035',-0.066,-0.047,0.030,0.097,0.117,0.149
'0:00.036',-0.062,-0.046,0.029,0.094,0.112,0.145
'0:00.037',-0.067,-0.039,0.028,0.088,0.104,0.133
'0:00.038',-0.068,-0.024,0.026,0.077,0.092,0.116
'0:00.039',-0.065,-0.004,0.023,0.065,0.078,0.094
'0:00.040',-0.065,0.020,0.019,0.051,0.063,0.071
'0:00.041',-0.069,0.045,0.016,0.036,0.048,0.049
'0:00.042',-0.069,0.068,0.012,0.023,0.035,0.029
'0:00.043',-0.069,0.087,0.011,0.011,0.025,0.013
'0:00.044',-0.066,0.101,0.008,0.005,0.018,0.003
